id;payment_number;payment_date;payment_category;payment_expense;withholding_vat;withholding_tax;payment_amount
1;back-end;2021-07-21;matrix;79036;95209;4262;16210
2;Hawaii Soap;2021-07-21;orchestration Games index;77696;7345;81177;60432
3;Greens driver Shoes;2021-07-21;Handmade;57652;88076;72477;97957
4;Baby Cotton;2021-07-21;methodical azure SDD;85384;53161;99494;23681
5;invoice indexing Ball;2021-07-21;Pizza Saudi Arabia;46706;58808;52234;6455
6;Cambridgeshire Bedfordshire Buckinghamshire;2021-07-21;Colorado panel Shoes;1681;41148;4481;36380
7;Mauritius Rupee Computer;2021-07-21;contingency relationships Handmade Fresh Hat;32024;68209;76865;50328
8;Sleek Buckinghamshire;2021-07-21;Ukraine Factors;45082;94463;82284;17983
9;budgetary management feed;2021-07-21;deposit value-added Jewelery;21004;36491;58390;9233
10;Investment Account Investment Account;2021-07-20;niches parse;55968;53380;8836;97789
