id;account_type_code;account_type;description
1;Berkshire Automotive;Forest;../fake-data/blob/hipster.txt
2;integrated;regional Director;../fake-data/blob/hipster.txt
3;Assurance Corporate Savings;Dobra;../fake-data/blob/hipster.txt
4;Wooden Loan Manager;Overpass robust feed;../fake-data/blob/hipster.txt
5;green Borders;Music;../fake-data/blob/hipster.txt
6;Fantastic Cambridgeshire Pike;Verde Cambridgeshire Streets;../fake-data/blob/hipster.txt
7;Pizza embrace;back-end e-business;../fake-data/blob/hipster.txt
8;Guernsey Zloty;Account Vision-oriented turquoise;../fake-data/blob/hipster.txt
9;bluetooth Vatu Tactics;e-services;../fake-data/blob/hipster.txt
10;Checking copy generate;Towels;../fake-data/blob/hipster.txt
