id;card_acquiring_issuing_flag_code;card_acquiring_issuing_description;card_acquiring_issuing_details
1;firewall blue COM;Lead;../fake-data/blob/hipster.txt
2;Rustic Wisconsin invoice;Frozen Ergonomic;../fake-data/blob/hipster.txt
3;Intelligent;infrastructure RAM;../fake-data/blob/hipster.txt
4;digital Gorgeous;Regional;../fake-data/blob/hipster.txt
5;transform online;cross-platform;../fake-data/blob/hipster.txt
6;COM;synthesizing Plastic cutting-edge;../fake-data/blob/hipster.txt
7;Salad ubiquitous communities;Syrian Somalia Factors;../fake-data/blob/hipster.txt
8;Representative;Mexican Implementation;../fake-data/blob/hipster.txt
9;Uganda Lake Tools;neural withdrawal;../fake-data/blob/hipster.txt
10;Pants;Yen dedicated;../fake-data/blob/hipster.txt
