id;reporting_date;agent_unique_id;terminal_unique_id;total_count_of_transactions;total_value_of_transactions_in_lcy;bank_code_id;branch_code_id;transaction_type_id
1;2023-10-03;Cambridgeshire;virtual synthesizing;7891;88612;1;1;1
2;2023-10-03;withdrawal system scalable;USB Account;77057;14430;2;2;2
3;2023-10-03;bleeding-edge;Loan Mississippi;67893;29306;3;3;3
4;2023-10-03;Virginia;firewall purple;88535;7704;4;4;4
5;2023-10-03;Ergonomic Springs;ivory;85876;63191;5;5;5
6;2023-10-03;Fresh UIC-Franc;Facilitator;72005;79200;6;6;6
7;2023-10-03;sensor Beauty evolve;Facilitator parse;35535;27719;7;7;7
8;2023-10-03;IB;invoice;56279;83054;8;8;8
9;2023-10-03;grow orange overriding;primary Chief Rufiyaa;75092;422;9;9;9
10;2023-10-03;Account scale Pizza;auxiliary Jersey Down-sized;1670;48710;10;10;10
