id;complaint_type_code;complaint_type;complaint_type_details
1;Assurance calculating interfaces;benchmark Reverse-engineered;../fake-data/blob/hipster.txt
2;Greece South;Interactions Gorgeous;../fake-data/blob/hipster.txt
3;time-frame transmit alliance;Home methodical;../fake-data/blob/hipster.txt
4;bus;recontextualize Legacy;../fake-data/blob/hipster.txt
5;Cambridgeshire turn-key;Home drive;../fake-data/blob/hipster.txt
6;compress;Dakota Cambridgeshire;../fake-data/blob/hipster.txt
7;Mayotte;application;../fake-data/blob/hipster.txt
8;Frozen invoice services;Branding port;../fake-data/blob/hipster.txt
9;Internal transmitting payment;navigate USB;../fake-data/blob/hipster.txt
10;invoice Prairie;Cotton;../fake-data/blob/hipster.txt
