id;charge_type_code;charge_type_description;charge_type_category
1;Mouse;deposit matrix;Books Open-architected
2;wireless Silver;solution integrate Sausages;e-commerce Fresh Automotive
3;Persevering Ariary;radical Representative;holistic Bahamas Angola
4;encoding Synergistic invoice;SMTP California;TCP
5;Alaska access schemas;Music olive;Borders
6;Polarised;Steel;Rubber
7;Polarised Rubber;Pa'anga haptic SAS;Bacon
8;reinvent;Liaison impactful;primary capability Union
9;Towels;payment;indexing
10;Frozen Congolese;collaborative gold;architecture
