id;credit_report_request_reason_type_code;credit_report_request_reason_type;credit_report_request_details
1;Markets;Open-architected withdrawal;../fake-data/blob/hipster.txt
2;magnetic Garden Circles;Account quantifying;../fake-data/blob/hipster.txt
3;Generic;Grove;../fake-data/blob/hipster.txt
4;human-resource;structure support Intelligent;../fake-data/blob/hipster.txt
5;generating;bluetooth;../fake-data/blob/hipster.txt
6;Bypass;backing;../fake-data/blob/hipster.txt
7;port;circuit;../fake-data/blob/hipster.txt
8;expedite payment;blue optical front-end;../fake-data/blob/hipster.txt
9;budgetary;Bike Consultant firewall;../fake-data/blob/hipster.txt
10;Palladium Hawaii;Ecuador dynamic invoice;../fake-data/blob/hipster.txt
