id;credit_card_ownership_category_code;credit_card_ownership_category_type;description
1;Optimization;INDIVIDUAL;../fake-data/blob/hipster.txt
2;Total morph Account;NONRESIDENTS;../fake-data/blob/hipster.txt
3;bluetooth;CORPORATE;../fake-data/blob/hipster.txt
4;Senior generate Principal;INDIVIDUAL;../fake-data/blob/hipster.txt
5;open-source Sleek;INDIVIDUAL;../fake-data/blob/hipster.txt
6;Gorgeous Overpass;INDIVIDUAL;../fake-data/blob/hipster.txt
7;SSL Fresh;INDIVIDUAL;../fake-data/blob/hipster.txt
8;tan Dynamic infrastructures;INDIVIDUAL;../fake-data/blob/hipster.txt
9;leading-edge;INDIVIDUAL;../fake-data/blob/hipster.txt
10;virtual circuit;INDIVIDUAL;../fake-data/blob/hipster.txt
