id;derivative_underlying_asset_type_code;financial_derivative_underlying_asset_type;derivative_underlying_asset_type_details
1;matrix Crescent Handmade;Loaf;../fake-data/blob/hipster.txt
2;Dollar;Berkshire vortals Soap;../fake-data/blob/hipster.txt
3;Analyst;productivity;../fake-data/blob/hipster.txt
4;Buckinghamshire enterprise Designer;alliance Checking Pre-emptive;../fake-data/blob/hipster.txt
5;wireless haptic blue;Swaziland;../fake-data/blob/hipster.txt
6;navigate Southern;payment indexing;../fake-data/blob/hipster.txt
7;Facilitator drive;Chief navigate;../fake-data/blob/hipster.txt
8;Cambridgeshire visionary;Devolved disintermediate;../fake-data/blob/hipster.txt
9;override Product reboot;methodical parsing card;../fake-data/blob/hipster.txt
10;Account Sports;payment Home;../fake-data/blob/hipster.txt
