id;legal_status_code;legal_status_type;legal_status_description
1;blue contextually-based synergy;Data whiteboard;../fake-data/blob/hipster.txt
2;Loan;supply-chains Stravenue Optional;../fake-data/blob/hipster.txt
3;HTTP cross-platform cross-media;mindshare Unbranded;../fake-data/blob/hipster.txt
4;engine;Lead system Tuna;../fake-data/blob/hipster.txt
5;Avon Franc AGP;Kansas;../fake-data/blob/hipster.txt
6;firewall;Mayotte HDD ADP;../fake-data/blob/hipster.txt
7;tan;override Underpass;../fake-data/blob/hipster.txt
8;card;withdrawal;../fake-data/blob/hipster.txt
9;pink;Industrial Square;../fake-data/blob/hipster.txt
10;Organized;input Soft Group;../fake-data/blob/hipster.txt
