id;loan_decline_reason_type_code;loan_decline_reason_type;loan_decline_reason_details
1;Pants;utilize Israeli;../fake-data/blob/hipster.txt
2;Interactions Credit Generic;indexing Squares;../fake-data/blob/hipster.txt
3;RSS Leone capability;Technician;../fake-data/blob/hipster.txt
4;programming;Cambridgeshire auxiliary;../fake-data/blob/hipster.txt
5;Interactions gold models;productize Response;../fake-data/blob/hipster.txt
6;ADP withdrawal strategize;moderator invoice index;../fake-data/blob/hipster.txt
7;bluetooth;modular;../fake-data/blob/hipster.txt
8;modular;platforms Keys Factors;../fake-data/blob/hipster.txt
9;redefine archive web-enabled;analyzer scalable functionalities;../fake-data/blob/hipster.txt
10;Garden;Group Personal Agent;../fake-data/blob/hipster.txt
