id;frequency_type_code;frequency_type;frequency_type_details
1;yellow payment;Iowa Profit-focused SSL;../fake-data/blob/hipster.txt
2;discrete;Clothing Corporate Implementation;../fake-data/blob/hipster.txt
3;Plaza;Lead;../fake-data/blob/hipster.txt
4;metrics Metal;Mission Pines;../fake-data/blob/hipster.txt
5;Realigned Fresh Bike;Metrics Customer;../fake-data/blob/hipster.txt
6;Practical real-time Wooden;Auto;../fake-data/blob/hipster.txt
7;attitude Point;Benin communities Market;../fake-data/blob/hipster.txt
8;Loan Account;sky green online;../fake-data/blob/hipster.txt
9;Wyoming Automotive sensor;Movies;../fake-data/blob/hipster.txt
10;bandwidth application support;Infrastructure TCP port;../fake-data/blob/hipster.txt
