id;loan_restructure_flag_code;loan_restructure_flag_type;loan_restructure_flag_details
1;Y;directional Shoes Tasty;../fake-data/blob/hipster.txt
2;Y;intuitive Cambridgeshire bluetooth;../fake-data/blob/hipster.txt
3;Y;frictionless intelligence;../fake-data/blob/hipster.txt
4;N;Account microchip driver;../fake-data/blob/hipster.txt
5;N;Arkansas;../fake-data/blob/hipster.txt
6;N;incubate Assurance;../fake-data/blob/hipster.txt
7;N;Michigan array executive;../fake-data/blob/hipster.txt
8;N;Avon Estonia;../fake-data/blob/hipster.txt
9;Y;Cambridgeshire Car Customer;../fake-data/blob/hipster.txt
10;N;Manors;../fake-data/blob/hipster.txt
