id;party_relation_type_code;party_relation_type;party_relation_type_description
1;Outdoors;base;../fake-data/blob/hipster.txt
2;Corporate;radical JSON;../fake-data/blob/hipster.txt
3;Granite Pa'anga SAS;Developer generate d'Ivoire;../fake-data/blob/hipster.txt
4;world-class systems;Applications;../fake-data/blob/hipster.txt
5;up Internal Garden;Pizza Chair;../fake-data/blob/hipster.txt
6;red Oklahoma Square;Fantastic Flat bottom-line;../fake-data/blob/hipster.txt
7;SQL best-of-breed;Pound RAM;../fake-data/blob/hipster.txt
8;Account Shoes;Granite bluetooth synthesize;../fake-data/blob/hipster.txt
9;Cambridgeshire;Wallis;../fake-data/blob/hipster.txt
10;optical next-generation up;application;../fake-data/blob/hipster.txt
