id;category_name;category_description;category_type;file_upload_token;compilation_token
1;Virginia state Bacon;Vermont 1080p firewall;CATEGORY0;Account;Function-based white
2;impactful;Peso;CATEGORY4;Checking Azerbaijanian;indigo compress
3;distributed;website maximized;CATEGORY1;Views Lead 24/7;Intranet Serbia
4;multi-state;holistic Ergonomic ADP;CATEGORY10;success attitude;payment
5;real-time Robust;Industrial;CATEGORY16;Dinar content connect;visionary Fresh
6;Cape Chief optimize;Fresh calculating;CATEGORY15;Mouse transmit;Vietnam Mouse Bike
7;Intelligent support;Squares indigo Cotton;CATEGORY9;Nebraska Rubber Games;transmitting
8;Diverse Steel reboot;Franc;CATEGORY7;Avon;Louisiana Fish olive
9;streamline hacking embrace;Engineer array;CATEGORY5;Data;Checking Grass-roots
10;Oro compress Nuevo;Shoes;CATEGORY12;Automotive;Grocery
