id;catalogue_number;particulars;dealer_name;payment_number;payment_date;currency_code;prepayment_amount;amortised_amount;outstanding_amount
1;Dynamic Wells Specialist;payment capability;logistical Fork Factors;Agent Corporate;2023-11-27;LKR;24681;3925;94884
2;invoice Bedfordshire backing;firmware;Automotive;Balanced;2023-11-27;LKR;57176;38359;57689
3;Global Maldives Cheese;Berkshire streamline;payment Salad;Dynamic Lead violet;2023-11-27;KRW;63695;30342;62325
4;payment;deposit gold Serbian;Producer Implementation invoice;Nebraska Senior;2023-11-27;SYP;39603;69608;39499
5;Planner;Integration Designer Avon;Jewelery Tools;bypass;2023-11-27;MGA;11252;3097;79961
6;Customer 1080p;mobile;Kuna;Causeway;2023-11-27;BWP;3261;2160;80274
7;red;withdrawal seize;Assistant Planner;backing Pound;2023-11-27;AFN;59070;38269;15064
8;array;JSON;Ridges Steel orchestrate;Keyboard HTTP Coordinator;2023-11-28;KMF;78035;30491;97028
9;Soft Fantastic Integrated;platforms Games Frozen;bluetooth AGP;Jewelery;2023-11-28;STN;88325;24909;55519
10;Total;Shoes lavender parse;synthesize Pizza Hat;quantifying Bike;2023-11-28;PHP;41175;50425;92442
