id;professional_qualifications_code;professional_qualifications_type;professional_qualifications_details
1;Incredible Danish Shoes;communities;../fake-data/blob/hipster.txt
2;open-source;Peso;../fake-data/blob/hipster.txt
3;alarm;Jewelery;../fake-data/blob/hipster.txt
4;Dakota Human;Silver emulation;../fake-data/blob/hipster.txt
5;1080p Extended Dominica;online Architect;../fake-data/blob/hipster.txt
6;Gourde hack Enhanced;adapter;../fake-data/blob/hipster.txt
7;user-facing Credit Intelligent;optical Metal Mountains;../fake-data/blob/hipster.txt
8;hub Avon Computer;applications;../fake-data/blob/hipster.txt
9;Buckinghamshire;Computers;../fake-data/blob/hipster.txt
10;Virginia e-markets Parkway;Automotive synthesizing;../fake-data/blob/hipster.txt
