id;context;serial;question_base_value;question_base_key;question_base_label;required;jhi_order;control_type;placeholder;iterable
1;payment;d9dfa641-0b57-456b-a679-c2ba991075c4;COM Group;Future 1080p synergize;Loan Quality input;false;41884;SEARCH;Concrete e-enable invoice;true
2;lavender Seychelles;7e98e119-a0fd-47d2-91e4-00d03232f08f;Stand-alone yellow mesh;Rustic haptic;Practical quantify Account;true;45719;DATETIME_LOCAL;azure Savings;true
3;help-desk;efee9dbb-c56f-41c9-9118-5121c84d17ad;Surinam;bypassing;recontextualize;true;64543;DATE;Mouse Communications Arizona;false
4;Harbors;62ba05f1-2abf-40da-98c8-c41a5c9015c1;Gorgeous capacitor Grocery;Shoes;International;false;20485;NUMBER;bricks-and-clicks Angola;false
5;open-source;db89ca0c-b02b-4e0a-a2c8-3ddfa6991786;deposit;feed;Extensions Car Officer;false;6994;TEL;out-of-the-box Djibouti Table;true
6;approach Avenue interface;47eb686b-3dee-4350-ad28-35cf963ab97a;Sleek Generic;data-warehouse Operative deploy;enhance Inverse;false;66925;TEXTAREA;6th;false
7;override Rubber;392ed93b-147b-4740-b870-baeef2ba26d9;blue Tools Pizza;Regional Rubber;migration Profit-focused;false;87274;MONTH;Credit;false
8;data-warehouse mobile Soap;4f622002-4cc8-413b-8567-997b8d857af6;Principal;SDD Strategist;encompassing testing SDD;false;83603;PASSWORD;Granite;true
9;Mexico Digitized Mauritania;7237aec7-8d7f-456a-b4bb-b9fa753a06eb;Licensed Lek;info-mediaries Bacon violet;parse connecting calculating;false;53825;DATETIME_LOCAL;Industrial;false
10;Avon auxiliary;feef08ef-6d67-406d-9570-2d01c43fce1d;Savings;reboot Convertible;Cliff Pizza;false;77296;WEEK;mobile;false
