id;lease_contract_number;lease_description;fiscal_month_code;account_for_credit;account_for_debit;depreciation_amount
1;Response;Alaska Handcrafted;Ergonomic;payment Soft initiatives;Designer transition orange;27054
2;SDR;Account port;Buckinghamshire real-time extranet;Cedi;Customer;40936
3;Tuna Plastic;artificial;bandwidth Factors;Account Small Unbranded;calculate Plastic Bike;83756
4;Outdoors Creative;Steel payment applications;Computers;Multi-channelled eyeballs;virtual;68039
5;Sharable;contingency;generating hacking Metal;European;Applications Soft leading-edge;84104
6;quantifying quantifying Vermont;Corporate service-desk;Table vertical;Future-proofed;(Slovak Cambridgeshire;2238
7;Ergonomic;Alabama;PCI Beauty Unbranded;Account;port;31219
8;systematic;Computers Ohio;Bahamas Berkshire Practical;extranet;paradigms parsing;48243
9;Rubber Ergonomic bluetooth;Computer Kansas Miquelon;Bike Azerbaijanian Corners;Borders Metal niches;Buckinghamshire action-items bus;48251
10;XML Lead Granite;Hampshire Optional Village;Mouse CSS;United SDD SAS;quantify Legacy;72476
