id;security_tenure_code;security_tenure_type;security_tenure_details
1;communities payment;cross-platform;../fake-data/blob/hipster.txt
2;disintermediate;high-level;../fake-data/blob/hipster.txt
3;Metrics Money;Montana Personal;../fake-data/blob/hipster.txt
4;multi-byte compress;bluetooth Small Internal;../fake-data/blob/hipster.txt
5;Table;brand Granite wireless;../fake-data/blob/hipster.txt
6;Ball;Steel;../fake-data/blob/hipster.txt
7;real-time best-of-breed;Shoes;../fake-data/blob/hipster.txt
8;Borders compressing calculate;Wooden;../fake-data/blob/hipster.txt
9;quantifying Dollar Myanmar;maroon embrace methodical;../fake-data/blob/hipster.txt
10;District PCI;Mouse Cotton Court;../fake-data/blob/hipster.txt
