id;source_of_funds_type_code;source_of_funds_type;source_of_funds_type_details
1;Loan;National Moldova Common;../fake-data/blob/hipster.txt
2;initiatives interface Somalia;transmitter Salad Automated;../fake-data/blob/hipster.txt
3;Island productivity;Guarani;../fake-data/blob/hipster.txt
4;orchid Iowa Grocery;up Business-focused Games;../fake-data/blob/hipster.txt
5;Guyana;intuitive;../fake-data/blob/hipster.txt
6;Nebraska deposit Communications;calculating;../fake-data/blob/hipster.txt
7;Avon holistic;Washington;../fake-data/blob/hipster.txt
8;Refined Ergonomic;communities methodologies cross-platform;../fake-data/blob/hipster.txt
9;Corporate;Chair bypass deposit;../fake-data/blob/hipster.txt
10;Oklahoma Loan;Berkshire Somoni;../fake-data/blob/hipster.txt
