id;staff_role_type_code;staff_role_type;staff_role_type_details
1;bypassing;compelling Synergistic Fresh;../fake-data/blob/hipster.txt
2;ROI Nauru;invoice Naira;../fake-data/blob/hipster.txt
3;Account Pizza Re-contextualized;Handcrafted;../fake-data/blob/hipster.txt
4;cyan Soap;Regional Berkshire algorithm;../fake-data/blob/hipster.txt
5;Garden;markets;../fake-data/blob/hipster.txt
6;Islands Fresh;Usability Massachusetts;../fake-data/blob/hipster.txt
7;payment markets Beauty;ADP;../fake-data/blob/hipster.txt
8;IB CSS;Producer New alarm;../fake-data/blob/hipster.txt
9;Ohio Fantastic Computer;Jewelery;../fake-data/blob/hipster.txt
10;utilize Manat;Isle Rubber;../fake-data/blob/hipster.txt
