id;ultimate_beneficiary_type_code;ultimate_beneficiary_type;ultimate_beneficiary_type_details
1;syndicate Movies;RSS Cotton AI;../fake-data/blob/hipster.txt
2;Land;SSL;../fake-data/blob/hipster.txt
3;visionary;Future robust Account;../fake-data/blob/hipster.txt
4;synthesizing Oklahoma;optical innovate Forward;../fake-data/blob/hipster.txt
5;Dobra Baby RAM;transmitting FTP Plastic;../fake-data/blob/hipster.txt
6;calculate District Fish;Credit;../fake-data/blob/hipster.txt
7;SQL Mobility Republic;Sol Card;../fake-data/blob/hipster.txt
8;Maldives revolutionize intermediate;redundant;../fake-data/blob/hipster.txt
9;motivating Optimized;Wooden Personal Compatible;../fake-data/blob/hipster.txt
10;Cotton Point Coordinator;invoice Executive;../fake-data/blob/hipster.txt
