id;catalogue_number;project_title;description;details;details_content_type;total_project_cost;additional_notes;additional_notes_content_type
1;Outdoors Upgradable;payment Jordan;Real;../fake-data/blob/hipster.png;image/png;76419;../fake-data/blob/hipster.png;image/png
2;Cheese user-centric;Stravenue Sleek open-source;compressing input user-centric;../fake-data/blob/hipster.png;image/png;35730;../fake-data/blob/hipster.png;image/png
3;bypass;Guadeloupe COM Expressway;leading-edge;../fake-data/blob/hipster.png;image/png;59228;../fake-data/blob/hipster.png;image/png
4;composite;Algeria Ergonomic;compress;../fake-data/blob/hipster.png;image/png;98315;../fake-data/blob/hipster.png;image/png
5;Palladium web;Extended Market;iterate Illinois Frozen;../fake-data/blob/hipster.png;image/png;48548;../fake-data/blob/hipster.png;image/png
6;Handmade Loan;services;Missouri;../fake-data/blob/hipster.png;image/png;52137;../fake-data/blob/hipster.png;image/png
7;green interactive;users Shirt;Frozen Refined system-worthy;../fake-data/blob/hipster.png;image/png;11271;../fake-data/blob/hipster.png;image/png
8;invoice;parallelism granular intangible;system;../fake-data/blob/hipster.png;image/png;48820;../fake-data/blob/hipster.png;image/png
9;Mandatory;synthesize firewall sensor;Avon;../fake-data/blob/hipster.png;image/png;72002;../fake-data/blob/hipster.png;image/png
10;core Music;Jamaica Avon;Belize;../fake-data/blob/hipster.png;image/png;90647;../fake-data/blob/hipster.png;image/png
