id;invoice_number;invoice_date;invoice_amount;currency;conversion_rate
1;Texas Focused;2021-06-27;15184;ZAR;46752
2;Chief;2021-06-27;21030;TZS;74773
3;model Australia;2021-06-26;94375;CNY;76728
4;Unbranded SDR Consultant;2021-06-26;6307;EUR;77772
5;Virginia Florida;2021-06-26;8068;INR;1913
6;sticky program 1080p;2021-06-27;36763;USD;41434
7;Court Assistant Account;2021-06-26;84021;TZS;82892
8;Buckinghamshire strategic Krona;2021-06-26;92472;GBP;31719
9;Dynamic Fresh;2021-06-26;33894;GBP;26945
10;Maine;2021-06-27;32278;JPY;11255
