id;payment_number;payment_date;payment_expense;withholding_vat;withholding_tax;payment_amount
1;back-end;2021-07-21;72433;99878;79036;95209
2;Tuna;2021-07-21;15486;60350;49961;67229
3;driver;2021-07-20;42775;77696;7345;81177
4;Lebanese driver;2021-07-20;71667;6761;9877;74587
5;USB Account;2021-07-21;43996;15607;74135;26883
6;azure Refined;2021-07-20;23681;75629;64361;92174
7;channels moderator connecting;2021-07-21;58808;52234;6455;92375
8;Global Buckinghamshire;2021-07-20;57307;10016;71648;15540
9;driver;2021-07-21;36380;59180;70028;54693
10;Fantastic;2021-07-21;22353;44213;54224;7390
