id;category_name;category_description;category_type
1;Virginia state Bacon;Vermont 1080p firewall;CATEGORY1
2;Account;Function-based white;CATEGORY0
3;virtual Peso;Home;CATEGORY12
4;synthesize;Pennsylvania Implementation Market;CATEGORY5
5;global Rustic Views;Plastic services Sleek;CATEGORY4
6;Cambridgeshire Executive;cyan;CATEGORY13
7;Missouri;Tactics Rustic payment;CATEGORY6
8;Gorgeous backing;ubiquitous Dinar content;CATEGORY8
9;action-items attitude;indexing;CATEGORY3
10;Security Keyboard Buckinghamshire;Fresh Mouse;CATEGORY14
