id;telco_excise_duty;value_added_tax;withholding_vat;withholding_tax_consultancy;withholding_tax_rent;catering_levy;service_charge;withholding_tax_imported_service
1;39005;86118;21033;8832;11558;43714;31955;57881
2;6471;14435;89983;92522;10106;12096;85617;41579
3;2792;66606;42365;55202;91805;92338;60709;52489
4;71998;10918;2769;24153;71539;60989;39397;50904
5;67421;24714;54190;17837;49082;53191;80575;49970
6;87094;77948;71004;5870;19614;30127;48938;22646
7;1346;32405;10175;81571;70677;5063;51302;54036
8;50068;12155;83594;80163;61309;71616;48808;90477
9;60734;33131;36996;33225;11472;86928;73229;22092
10;12323;4363;74266;74744;67714;83087;28560;24022
