id;file_type_name;file_medium_type;description;file_template;file_template_content_type;file_type
1;Indiana scale;EXCEL_XML;Delaware Realigned;../fake-data/blob/hipster.png;image/png;FIXED_ASSET_NBV
2;Operations;HTML5;Loop auxiliary;../fake-data/blob/hipster.png;image/png;CURRENCY_LIST
3;Cambridgeshire redundant;JSON;Accounts;../fake-data/blob/hipster.png;image/png;CURRENCY_LIST
4;Investment Account;EXCEL_XML;Shirt;../fake-data/blob/hipster.png;image/png;CURRENCY_LIST
5;zero administration Cambridgeshire harness;JSON;Administrator;../fake-data/blob/hipster.png;image/png;FIXED_ASSET_DEPRECIATION
6;expedite Frozen;EXCEL_XLSB;Metrics Montenegro;../fake-data/blob/hipster.png;image/png;FIXED_ASSET_ACQUISITION
7;intuitive Gourde US Dollar back-end;EXCEL_XML;Analyst virtual;../fake-data/blob/hipster.png;image/png;FIXED_ASSET_NBV
8;Specialist Tactics ADP;PDF;Australia;../fake-data/blob/hipster.png;image/png;FIXED_ASSET_DEPRECIATION
9;Home Loan Account;HTML5;microchip;../fake-data/blob/hipster.png;image/png;FIXED_ASSET_ACQUISITION
10;program Chicken;EXCEL_CSV;overriding;../fake-data/blob/hipster.png;image/png;FIXED_ASSET_DEPRECIATION
