id;invoice_number;invoice_date;invoice_amount;payment_category;dealer_name
1;Texas Concrete;2021-06-27;86430;Table;Unbranded Frozen Towels Down-sized
2;connect model haptic;2021-06-27;79862;Intranet program Unbranded;SDR
3;Consultant;2021-06-26;38331;reciprocal;Virginia Borders
4;Home Loan Account;2021-06-27;31806;Indian Rupee Ngultrum;monitor
5;PNG;2021-06-26;97683;intuitive;Division Handcrafted
6;back-end Money Market Account Legacy;2021-06-26;83962;EXE parse strategic;Jamaican Dollar
7;Cambridgeshire Fully-configurable iterate;2021-06-26;2286;HTTP;sticky attitude-oriented Maine
8;Function-based RAM action-items;2021-06-26;2473;Well;matrix Internal
9;auxiliary;2021-06-26;87547;analyzer Chips;transmitting interactive reintermediate
10;auxiliary;2021-06-27;89523;bypassing Gorgeous Fresh Soap Toys;Plains
