id;tax_name;tax_description;tax_percentage;tax_reference_type
1;Cambridgeshire Incredible Steel Shirt open architecture;Global Product;11250;WITHHOLDING_TAX_ON_RENT
2;Spain Senior;Handcrafted;7767;WITHHOLDING_TAX_ON_CONSULTANCY
3;user-centric Borders GB;invoice Cote d'Ivoire;47224;WITHHOLDING_VAT
4;virtual Inlet Investment Account;Gorgeous generate;33516;SERVICE_CHARGE
5;indigo Checking Account;Beauty;32296;VALUE_ADDED_TAX
6;content-based;matrix;58944;WITHHOLDING_TAX_ON_IMPORTED_SERVICE
7;Fresh solution-oriented;PNG;79325;WITHHOLDING_TAX_ON_IMPORTED_SERVICE
8;online AGP Monitored;Sports SMS Credit Card Account;3853;WITHHOLDING_TAX_ON_IMPORTED_SERVICE
9;Avon;incentivize Virtual incubate;4843;WITHHOLDING_TAX_ON_CONSULTANCY
10;Rustic Frozen Chair Generic Steel Mouse JBOD;Intelligent Frozen Mouse Agent Gorgeous Granite Mouse;2087;CATERING_LEVY
