id;payment_number;payment_date;telco_excise_duty;value_added_tax;withholding_vat;withholding_tax_consultancy;withholding_tax_rent;catering_levy;service_charge;withholding_tax_imported_service
1;SSL Ergonomic;2021-07-22;31955;57881;6471;14435;89983;92522;10106;12096
2;web-readiness withdrawal Turks and Caicos Islands;2021-07-21;60709;52489;71998;10918;2769;24153;71539;60989
3;Buckinghamshire Optimized;2021-07-22;49082;53191;80575;49970;87094;77948;71004;5870
4;infrastructure;2021-07-22;1346;32405;10175;81571;70677;5063;51302;54036
5;Fresh bluetooth;2021-07-21;48808;90477;60734;33131;36996;33225;11472;86928
6;yellow Handmade Soft Chicken compressing;2021-07-22;56442;49397;95031;8533;39416;86346;85728;1832
7;Human Keyboard;2021-07-22;89728;58497;86827;5841;78301;78800;58048;74236
8;Colorado;2021-07-21;24734;46762;99565;47527;17582;41082;58136;75218
9;Tunnel Soap calculate;2021-07-22;70353;33970;41063;37092;25379;85477;25506;88135
10;lime Forint Dynamic;2021-07-21;54296;72475;33965;14712;51927;82960;69374;86502
