id;first_amortization_date;amortization_frequency;number_of_recurrences;notes;notes_content_type;particulars;is_active;is_over_written;time_of_installation;recurrence_guid;prepayment_account_guid;depreciation_method_id;prepayment_account_id
1;2022-08-01;MONTHLY;24090;../fake-data/blob/hipster.png;image/png;Synergistic;false;true;2022-08-01T18:17:22;5bd70de3-6890-4299-a333-f16b4f884876;212c137d-dea7-44cd-b252-9d0037dab4c6;1;1
2;2022-08-02;MONTHLY;64580;../fake-data/blob/hipster.png;image/png;Toys Table Investment;false;false;2022-08-02T04:31:05;7c799bad-57e1-4da8-9f1a-7dd41d052b1a;d9d7670c-aeea-46b8-9ccf-a5987c296ed6;2;2
3;2022-08-01;TRIMESTERS;78560;../fake-data/blob/hipster.png;image/png;grey Marks parsing;true;false;2022-08-02T00:29:20;a4ff1572-aa38-4108-a6c1-e17140da6878;d4e63385-e71a-4dd2-b36f-c5500ec7132b;3;3
4;2022-08-02;TRIMESTERS;43542;../fake-data/blob/hipster.png;image/png;Brand systems;false;true;2022-08-01T10:44:44;5745d613-ba92-4dc0-90f3-2051991dc1d4;1400cc7c-655b-4a7a-81d0-b198ab429cff;4;4
5;2022-08-02;MONTHLY;8381;../fake-data/blob/hipster.png;image/png;radical;false;true;2022-08-01T10:19:04;f4258b79-3e63-4f39-b6e1-e6ac438465f8;57ba68aa-ac3b-4031-afcc-3dcafbd13c3d;5;5
6;2022-08-02;QUARTERLY;35923;../fake-data/blob/hipster.png;image/png;Republic;false;true;2022-08-01T07:15:49;074bc175-5ee0-4cbd-85c8-2605a09a9ad5;abcff7fa-625c-4d18-8339-a9b62d324e61;6;6
7;2022-08-01;MONTHLY;83302;../fake-data/blob/hipster.png;image/png;CSS Dollar;false;true;2022-08-01T22:34:56;6fbfaf5c-03a2-4b67-b967-7fb79d034fd3;06cb9cc1-9c41-4c91-b585-dedba786efe2;7;7
8;2022-08-01;QUARTERLY;78974;../fake-data/blob/hipster.png;image/png;Franc policy;false;true;2022-08-02T04:28:01;e79161a9-0fe9-4668-80c2-48b4d9c7ea89;1710b66c-5865-4abd-ad8e-241ea52069ae;8;8
9;2022-08-01;QUARTERLY;7022;../fake-data/blob/hipster.png;image/png;Dollar;true;true;2022-08-01T14:05:15;6eeab645-8e85-475f-aada-8b1bf0101b3d;934266cc-078c-4256-a475-d8711b09fa5e;9;9
10;2022-08-01;QUARTERLY;51772;../fake-data/blob/hipster.png;image/png;Fully-configurable bypassing;false;false;2022-08-01T13:19:18;9fed1e24-8729-4cb4-8e39-9cba36e58ef1;15654bdd-f39d-413a-9fc6-2671ebb5bdb4;10;10
