id;description;devaluation_amount;adjustment_date;time_of_creation;adjustment_reference_id;effective_period_id;asset_registration_id
1;Alabama;24164;2024-04-12;2024-04-11T12:03:55;c6d7d136-61a0-4e30-8496-c4eae924c555;1;1
2;Court executive;50468;2024-04-11;2024-04-11T13:14:16;5749912f-14b5-47f3-bbfd-081d1d5174da;2;2
3;Ergonomic orchestration salmon;58446;2024-04-12;2024-04-11T18:06:19;521b4d90-def2-46c8-aa9e-d34812c36940;3;3
4;generate;50323;2024-04-11;2024-04-12T04:24:37;885a91f4-4bc4-4a2a-a3f6-6a00b2aba774;4;4
5;Assistant;51762;2024-04-11;2024-04-11T16:46:14;dd68587e-340a-4a3f-9c99-26832db9dc7f;5;5
6;Function-based;28308;2024-04-12;2024-04-11T21:54:27;1bade6ca-7cdf-4e25-a4ba-5109dfe17cab;6;6
7;deposit payment;72407;2024-04-12;2024-04-11T09:46:19;c49a9bfc-99b2-421d-bb9d-14cc5ce01e42;7;7
8;lime;11433;2024-04-11;2024-04-12T02:52:34;11b708f4-99aa-426d-be37-9e7e1a8f5ab8;8;8
9;Licensed Operations;89682;2024-04-11;2024-04-11T13:22:45;ec1fa31f-ba53-4a58-9a74-5e406e72b0fb;9;9
10;Interface Savings modular;70560;2024-04-11;2024-04-12T03:43:45;0a17fea3-e871-46a0-82df-8727779ad46b;10;10
