id;card_category_flag;card_category_description;card_category_details
1;L;quantifying Sleek;../fake-data/blob/hipster.txt
2;L;Steel Frozen;../fake-data/blob/hipster.txt
3;L;open-source Account and;../fake-data/blob/hipster.txt
4;L;Tuna Maine ivory;../fake-data/blob/hipster.txt
5;I;workforce Forks Omani;../fake-data/blob/hipster.txt
6;I;leverage Metal;../fake-data/blob/hipster.txt
7;L;Chair;../fake-data/blob/hipster.txt
8;I;one-to-one Iceland bypassing;../fake-data/blob/hipster.txt
9;I;Wooden;../fake-data/blob/hipster.txt
10;I;blockchains;../fake-data/blob/hipster.txt
