id;reporting_date;total_number_of_live_cards;total_active_cards;total_number_of_transactions_done;total_value_of_transactions_done_in_lcy;bank_code_id;card_type_id;card_brand_id;card_category_type_id;transaction_type_id;channel_type_id;card_state_id
1;2023-10-04;84310;97177;27575;96057;1;1;1;1;1;1;1
2;2023-10-03;65947;16507;55986;36975;2;2;2;2;2;2;2
3;2023-10-03;84968;81260;26907;83501;3;3;3;3;3;3;3
4;2023-10-04;40823;22241;19131;83030;4;4;4;4;4;4;4
5;2023-10-04;38555;24098;30230;66825;5;5;5;5;5;5;5
6;2023-10-04;5490;6390;67369;35426;6;6;6;6;6;6;6
7;2023-10-04;66068;70102;97793;26180;7;7;7;7;7;7;7
8;2023-10-04;96888;96401;11138;76303;8;8;8;8;8;8;8
9;2023-10-03;92599;51843;93873;23955;9;9;9;9;9;9;9
10;2023-10-03;22264;61700;57788;20425;10;10;10;10;10;10;10
