id;county_code;county_name;sub_county_code;sub_county_name
1;57651;violet;34888;Iowa infrastructures
2;17433;invoice Credit innovate;17009;target haptic
3;21496;International;7242;Kansas withdrawal
4;31578;Computer;69590;Technician
5;34073;Dynamic;26447;navigating scale
6;27450;global;63585;Buckinghamshire optimizing Loan
7;42580;back optimize;28252;Fantastic Montserrat alliance
8;25296;1080p Islands Metal;64190;Fiji Lead Multi-tiered
9;87734;Senior Direct Avon;53856;Sleek Fish Card
10;36230;Associate;59220;architectures Administrator
