id;agent_service_type_code;agent_service_type_details
1;Operations Intelligent;../fake-data/blob/hipster.txt
2;Bhutan Configuration;../fake-data/blob/hipster.txt
3;distributed e-business;../fake-data/blob/hipster.txt
4;proactive Granite;../fake-data/blob/hipster.txt
5;Toys Gorgeous;../fake-data/blob/hipster.txt
6;index Home;../fake-data/blob/hipster.txt
7;matrix Account Investment;../fake-data/blob/hipster.txt
8;Manager Brand Streamlined;../fake-data/blob/hipster.txt
9;Senegal Intelligent Nevada;../fake-data/blob/hipster.txt
10;grey Reverse-engineered Optimization;../fake-data/blob/hipster.txt
