id;amount_category_band_code;amount_category_band;amount_category_band_details
1;digital payment;Dollar ivory;../fake-data/blob/hipster.txt
2;Chicken infomediaries;Account Rubber multi-tasking;../fake-data/blob/hipster.txt
3;best-of-breed Computer paradigm;Mill interfaces Burkina;../fake-data/blob/hipster.txt
4;firewall Decentralized;channels Tala;../fake-data/blob/hipster.txt
5;Solutions Manager Integration;Shirt deliver payment;../fake-data/blob/hipster.txt
6;SMS Ball;Sleek Brand Marketing;../fake-data/blob/hipster.txt
7;Berkshire;services sensor;../fake-data/blob/hipster.txt
8;Home quantifying;Connecticut;../fake-data/blob/hipster.txt
9;Regional Account;SMTP;../fake-data/blob/hipster.txt
10;Dakota Steel Oklahoma;SMTP deposit Uruguay;../fake-data/blob/hipster.txt
