id;gl_code;gl_description;gl_type;institution_category
1;Granite Rustic;interfaces Steel Electronics;efficient Program;Multi-layered Focused Cross-platform
2;Lead capacitor Garden;stable Total strategize;Dollar Savings;Danish
3;Cotton Sleek online;Fresh Gloves;niches redefine Implementation;Liberia Optimization
4;neural-net groupware Computer;content;auxiliary streamline Sol;intangible overriding
5;Ball;Berkshire action-items optical;blockchains Buckinghamshire;Toys Cordoba
6;JSON Metal;Steel;transmit circuit;Computers payment wireless
7;Agent French;transmitting;programming Integration;Engineer
8;Polynesia;impactful;transmit interfaces;Synergized
9;Slovenia Customer-focused Netherlands;reboot olive Loan;California synthesize Money;optimize Strategist copy
10;withdrawal;quantify Towels;digital innovative Identity;Monitored Inverse Global
