id;submitting_institution_category_type_code;submitting_institution_category_type;submitting_institution_category_details
1;paradigms Tasty;Lead networks Buckinghamshire;../fake-data/blob/hipster.txt
2;panel;invoice deposit secondary;../fake-data/blob/hipster.txt
3;invoice HTTP Networked;supply-chains optical;../fake-data/blob/hipster.txt
4;Seamless Wyoming Account;Avon Assurance;../fake-data/blob/hipster.txt
5;Applications Yuan;Account bypassing Garden;../fake-data/blob/hipster.txt
6;Bolivia;Director Lead array;../fake-data/blob/hipster.txt
7;Specialist Progressive Licensed;Books;../fake-data/blob/hipster.txt
8;Bahamas Frozen card;Sports De-engineered feed;../fake-data/blob/hipster.txt
9;Kwanza;mobile;../fake-data/blob/hipster.txt
10;Frozen Planner;Loan withdrawal;../fake-data/blob/hipster.txt
