id;subscription_status_type_code;subscription_status_type;subscription_status_type_description
1;teal Angola ubiquitous;Developer;../fake-data/blob/hipster.txt
2;Representative payment;Chief;../fake-data/blob/hipster.txt
3;capacitor strategy technologies;circuit Human;../fake-data/blob/hipster.txt
4;Central Optional;action-items;../fake-data/blob/hipster.txt
5;website;Loan yellow;../fake-data/blob/hipster.txt
6;Analyst De-engineered Chicken;port;../fake-data/blob/hipster.txt
7;Tajikistan;back-end Investment Belarussian;../fake-data/blob/hipster.txt
8;panel virtual Cambridgeshire;bypass Granite Orchestrator;../fake-data/blob/hipster.txt
9;generating;Practical Synchronised;../fake-data/blob/hipster.txt
10;Row Morocco;Berkshire Future input;../fake-data/blob/hipster.txt
