id;credit_number;credit_note_date;credit_amount;remarks
1;bypassing Polynesia Human;2022-03-19;25374;../fake-data/blob/hipster.txt
2;auxiliary Personal Fantastic;2022-03-20;19204;../fake-data/blob/hipster.txt
3;Handcrafted;2022-03-19;47705;../fake-data/blob/hipster.txt
4;Program;2022-03-19;92934;../fake-data/blob/hipster.txt
5;B2B redefine;2022-03-20;25700;../fake-data/blob/hipster.txt
6;Generic Fresh;2022-03-20;59535;../fake-data/blob/hipster.txt
7;Islands;2022-03-20;49670;../fake-data/blob/hipster.txt
8;logistical;2022-03-20;12385;../fake-data/blob/hipster.txt
9;revolutionary Pre-emptive;2022-03-20;63102;../fake-data/blob/hipster.txt
10;transparent;2022-03-19;46429;../fake-data/blob/hipster.txt
