id;posted_at;depreciation_amount;asset_number;depreciation_period_identifier;depreciation_job_identifier;fiscal_month_identifier;fiscal_quarter_identifier;batch_sequence_number;processed_items;total_items_processed;elapsed_months;prior_months;useful_life_years;previous_nbv;net_book_value;depreciation_period_start_date;depreciation_period_end_date;capitalization_date
1;2023-07-03T17:53:51;90841;87525;7b00eb8a-5a63-4a4b-a7a2-1a4d3f1b404a;36e10514-ca1e-43d3-aa4a-93bdf031e29f;41ad17fd-6ffc-44b2-b283-a99098c3180e;acdb9464-3b6e-44ed-a36e-6b3cf2dca5ed;81156;Refined;69494;66525;1416;95895;98691;34450;2023-07-04;2023-07-03;2023-07-04
2;2023-07-04T12:49:56;40537;45215;a382d011-c97d-421b-b48f-1385e8e06ea9;9b4372e7-0c4f-44bf-a5e8-66f879760b7a;84005091-cf8f-4c2f-8198-d1f6645f2e80;dd931283-9be0-49f0-b051-fac2ca10d57e;90337;Supervisor alarm;88099;19566;67130;6485;34126;74804;2023-07-03;2023-07-04;2023-07-03
3;2023-07-04T03:57:40;7616;74736;7c11895b-a529-4c4c-bb8e-6bb869ec2859;4a146602-ae65-41c0-868d-843937f0f498;3d8c183b-1215-4b65-8354-7760b3f6df55;908415ad-d80b-4b0c-84be-28299ab16639;60154;International navigate Small;92056;36815;16556;58752;72516;6664;2023-07-04;2023-07-04;2023-07-04
4;2023-07-03T23:57:49;447;57780;009555ae-40d5-4900-9e8b-915c765d4096;d2e23b1a-d5b8-4e1b-9b98-5ba23342f568;caa199ea-caf9-49ff-a75f-d543f64077f2;8a9e85db-024b-46bf-a7c6-5396d5422a61;58529;Salad;74890;35936;81554;961;5449;97343;2023-07-04;2023-07-04;2023-07-04
5;2023-07-04T12:02:35;917;89649;a1c24cc9-84aa-41fc-aad7-bc5b789ada22;019bc784-6296-43e3-9287-777d6f55a474;139cb0a2-6f6b-4d3f-a6e5-720be3de5a71;78788273-026f-4a81-8242-22259b5ac02d;23909;Wooden Handcrafted;87699;7605;20201;31294;88135;26268;2023-07-03;2023-07-03;2023-07-04
6;2023-07-04T04:37:52;48070;97460;4ed3b6b4-383f-40e3-887d-4ce29c81c3bb;10281b6c-7ef5-4de1-ae7e-8bca725c7a80;beb9bb17-e29f-46f0-889f-2605950b1de5;2e5949b3-af5b-4fd5-8e9d-70d20753fe0a;26041;Games Reunion Tasty;44818;23160;73123;55295;63731;74369;2023-07-03;2023-07-04;2023-07-03
7;2023-07-04T02:53:39;38054;74947;b9c79fd2-c0db-4882-a185-4de5efc1a7c4;1139121e-289d-4eb6-80a2-66707c304786;95dd0a9c-b5eb-4e1b-8365-b8829a24012c;0f943dc0-6c59-45c9-8321-1c126e3aa474;57396;Sausages generate;37078;94996;72794;97282;34809;21340;2023-07-03;2023-07-03;2023-07-04
8;2023-07-03T21:21:06;28768;47505;dcd96ed8-0c48-4499-8fb4-1be39e064c20;a3eec736-2f2e-4be7-9748-d6893c290210;285bdca5-a732-41ba-8c14-8e90e87ebf53;36227cfd-e850-4ac6-9035-b129e261b2f0;20143;maroon scalable Generic;37196;53958;18310;9560;45939;37743;2023-07-04;2023-07-04;2023-07-03
9;2023-07-04T15:29:30;68710;30685;ae247ae4-2053-452e-9d52-8e6a593ffc19;045c3e87-882a-414c-9041-cff5dbc43329;4f6e7e6c-f6d2-45e5-b824-00f8efcd1883;61425fb6-0434-4deb-acc2-a158c500cc2d;49947;bypass flexibility bandwidth;54792;10154;54589;62067;84068;53869;2023-07-04;2023-07-03;2023-07-04
10;2023-07-04T12:33:07;32994;5913;bcf13377-8887-4222-b9af-b5b770c824a9;ef1a7b15-0775-4b2b-b527-bdcc5a56a1e0;500e5c56-32a4-4c30-bd85-e311f5549766;e28dc0e3-ceff-4d0b-99b7-7ec29bc69f21;8963;Keyboard Chips pricing;67480;22227;53588;40752;50570;44846;2023-07-04;2023-07-04;2023-07-03
