id;time_of_commencement;depreciation_job_status;description;number_of_batches;processed_batches;last_batch_size;processed_items;processing_time;total_items
1;2023-07-05T11:33:15;COMPLETE;payment bifurcated;56402;67826;21340;79361;20264;20322
2;2023-07-05T07:21:57;ERRORED;SMS haptic brand;31375;38037;6051;98195;33801;83285
3;2023-07-05T08:44:38;COMPLETE;cross-platform Global;82167;43010;45649;75640;2786;41697
4;2023-07-04T22:05:01;CREATED;Cambridgeshire Digitized;98383;71821;93013;93983;85312;7514
5;2023-07-04T19:41:40;ERRORED;collaboration sensor;46167;98480;23307;1864;64230;50672
6;2023-07-05T00:54:44;ENQUEUED;Borders;9441;71998;66458;31337;20683;41709
7;2023-07-05T07:17:16;ERRORED;grey;59772;41242;7453;77505;60480;79333
8;2023-07-05T10:18:49;COMPLETE;Future Mouse Extensions;53185;2179;32653;86032;5370;19245
9;2023-07-04T22:07:54;ENQUEUED;Wooden;90259;83194;16582;12724;2979;38056
10;2023-07-05T00:52:22;ENQUEUED;Horizontal;21856;47844;56769;55243;39524;25837
