id;event_narrative;event_time_stamp;depreciation_notice_status;source_module;source_entity;error_code;error_message;user_action;technical_details
1;Shoes Squares;2023-08-15T21:44:04;ERROR;Multi-tiered;Generic Som;connect Avon;../fake-data/blob/hipster.txt;Keyboard;../fake-data/blob/hipster.txt
2;Account;2023-08-15T19:58:10;ERROR;back-end bluetooth utilize;Money;bus;../fake-data/blob/hipster.txt;cultivate ivory Health;../fake-data/blob/hipster.txt
3;Dollar and deposit;2023-08-16T01:09:14;ERROR;PNG calculating Avon;next Belgium;Dakota Card;../fake-data/blob/hipster.txt;Mouse Legacy Supervisor;../fake-data/blob/hipster.txt
4;cultivate;2023-08-15T20:12:25;ERROR;core;5th connect;e-commerce Buckinghamshire;../fake-data/blob/hipster.txt;withdrawal virtual Executive;../fake-data/blob/hipster.txt
5;quantifying pricing;2023-08-16T01:54:18;WARNING;deliver Gorgeous Account;Infrastructure;Supervisor;../fake-data/blob/hipster.txt;Niger bi-directional;../fake-data/blob/hipster.txt
6;invoice;2023-08-16T11:17:52;ERROR;Isle Account navigating;generation invoice;cyan Handmade withdrawal;../fake-data/blob/hipster.txt;port state;../fake-data/blob/hipster.txt
7;Licensed Croatian;2023-08-15T16:22:32;ERROR;access;up Hat;Toys Table Dalasi;../fake-data/blob/hipster.txt;compress Wyoming pink;../fake-data/blob/hipster.txt
8;Gloves;2023-08-15T19:08:06;ERROR;Industrial Market;encompassing Orchestrator;Auto Beauty primary;../fake-data/blob/hipster.txt;next;../fake-data/blob/hipster.txt
9;Small Borders Liaison;2023-08-15T22:06:17;INFO;Frozen cutting-edge;reintermediate Wooden matrix;Dollar;../fake-data/blob/hipster.txt;interface Direct Antilles;../fake-data/blob/hipster.txt
10;solutions bypassing platforms;2023-08-16T11:53:06;WARNING;Rustic to Frozen;sensor Grass-roots;hack ROI;../fake-data/blob/hipster.txt;platforms sensor;../fake-data/blob/hipster.txt
