id;business_reporting_day;buying_rate;selling_rate;mean_rate;closing_bid_rate;closing_offer_rate;usd_cross_rate;institution_code_id;currency_code_id
1;2023-10-03;41442;87160;8565;21716;237;98847;1;1
2;2023-10-02;68805;47290;49595;78551;89253;59849;2;2
3;2023-10-03;54120;42481;56181;6607;89196;95399;3;3
4;2023-10-03;74803;87240;1229;92822;28522;20763;4;4
5;2023-10-03;85441;49972;11048;88076;25215;57978;5;5
6;2023-10-03;97361;43519;35992;38565;42091;69798;6;6
7;2023-10-03;56505;13662;95775;31512;55504;8245;7;7
8;2023-10-03;89869;95853;72782;83332;8821;64525;8;8
9;2023-10-03;33202;86757;48627;28278;63915;62874;9;9
10;2023-10-02;45508;78619;1295;95298;61437;11992;10;10
