id;description;file_name;period_from;period_to;file_type_id;data_file;data_file_content_type;upload_successful;upload_processed;upload_token
1;Functionality Portugal Administrator;connect Fresh incentivize;2021-04-14;2021-04-14;58234;../fake-data/blob/hipster.png;image/png;false;true;white
2;web-enabled incentivize Tactics;product unleash;2021-04-14;2021-04-14;25856;../fake-data/blob/hipster.png;image/png;true;false;architecture Proactive
3;Gorgeous HTTP Research;alarm SCSI Radial;2021-04-14;2021-04-13;99480;../fake-data/blob/hipster.png;image/png;true;true;Heights Fish Salad
4;innovate explicit Armenia;Plastic;2021-04-14;2021-04-14;66911;../fake-data/blob/hipster.png;image/png;false;false;Ohio
5;architecture;Direct blockchains;2021-04-14;2021-04-13;33522;../fake-data/blob/hipster.png;image/png;true;true;application
6;Ameliorated;alarm Rubber;2021-04-14;2021-04-14;31194;../fake-data/blob/hipster.png;image/png;false;false;generating GB secured
7;Sports;Albania Account Wyoming;2021-04-14;2021-04-13;93527;../fake-data/blob/hipster.png;image/png;false;true;Cliff empowering
8;grow seize Program;tangible Central markets;2021-04-14;2021-04-14;6228;../fake-data/blob/hipster.png;image/png;false;true;Garden
9;program interactive copy;Incredible microchip viral;2021-04-14;2021-04-14;82332;../fake-data/blob/hipster.png;image/png;true;false;visualize Gorgeous infomediaries
10;1080p;withdrawal Awesome Down-sized;2021-04-13;2021-04-14;41178;../fake-data/blob/hipster.png;image/png;true;true;Indiana Granite
