id;financial_derivative_type_code;financial_derivative_type;financial_derivative_type_details
1;program Concrete generate;mint Web Concrete;../fake-data/blob/hipster.txt
2;Mouse copy;up Small Fantastic;../fake-data/blob/hipster.txt
3;indexing Administrator;Pants primary;../fake-data/blob/hipster.txt
4;Baby Kansas;AGP driver Frozen;../fake-data/blob/hipster.txt
5;user-facing azure Handmade;Salad Avon Idaho;../fake-data/blob/hipster.txt
6;Maryland client-driven networks;card International capability;../fake-data/blob/hipster.txt
7;Lead Intelligent;enable XML;../fake-data/blob/hipster.txt
8;Supervisor panel Focused;Summit compressing;../fake-data/blob/hipster.txt
9;withdrawal User-friendly Account;Route deposit;../fake-data/blob/hipster.txt
10;Handmade copying;partnerships;../fake-data/blob/hipster.txt
