id;subsidiary_name;reporting_date;subsidiary_id;gross_loans_amount;gross_npa_loan_amount;gross_assets_amount;gross_deposits_amount;profit_before_tax;total_capital_adequacy_ratio;liquidity_ratio;general_provisions;specific_provisions;interest_in_suspense_amount;total_number_of_staff;number_of_branches;bank_code_id;subsidiary_country_code_id
1;utilize Grocery PNG;2023-10-04;Kenya;67479;30818;32483;46380;43869;87709;66465;56248;89586;89244;60876;96457;1;1
2;Account;2023-10-04;Salad bottom-line compress;23918;9610;86732;27607;542;36182;80440;35113;44934;32891;69034;13616;2;2
3;virtual Clothing;2023-10-04;override middleware Account;53719;94560;83511;75555;48699;20294;53922;93406;78856;20649;19172;94996;3;3
4;help-desk transmitting;2023-10-03;generate Mobility;12595;82215;8314;24505;20816;99282;60878;10602;22514;80734;8211;63539;4;4
5;client-driven;2023-10-03;ADP Cotton bus;99113;62984;35468;27672;15566;5383;54821;88656;62345;24722;97286;60806;5;5
6;microchip Chips Pants;2023-10-03;strategy program;82692;75424;47859;47663;80682;66047;75903;93654;18933;77430;31968;61047;6;6
7;maroon deliverables;2023-10-04;Cedi Awesome;15435;98094;48267;9820;31017;78841;55734;26470;42781;90967;7858;3361;7;7
8;Electronics;2023-10-03;enable Cotton Rest;15153;73206;78292;21257;98831;91955;42739;30181;96853;5632;79348;67006;8;8
9;Knolls Marketing user-centric;2023-10-04;Road Ridges Port;13723;26996;13063;39910;21859;99029;97038;49176;32088;24039;55931;48524;9;9
10;Coves Engineer Corporate;2023-10-03;Generic digital Licensed;90254;50206;23702;53367;58708;78584;53571;11331;59568;48249;93559;98830;10;10
