id;fraud_type_code;fraud_type;fraud_type_details
1;Tanzanian Dinar invoice;bus;../fake-data/blob/hipster.txt
2;Avon;Avon;../fake-data/blob/hipster.txt
3;tertiary;Buckinghamshire;../fake-data/blob/hipster.txt
4;Persevering Central Baby;SAS Soft;../fake-data/blob/hipster.txt
5;ADP;synthesizing Gateway;../fake-data/blob/hipster.txt
6;pixel customized;Underpass Industrial solid;../fake-data/blob/hipster.txt
7;Concrete;state connecting;../fake-data/blob/hipster.txt
8;District Down-sized Throughway;National visionary;../fake-data/blob/hipster.txt
9;invoice;mission-critical Auto scale;../fake-data/blob/hipster.txt
10;red Islands leverage;algorithm Identity Fundamental;../fake-data/blob/hipster.txt
