id;fx_transaction_channel_code;fx_transaction_channel_type;fx_channel_type_details
1;synthesize;pricing;../fake-data/blob/hipster.txt
2;Chair Account;Savings Darussalam Buckinghamshire;../fake-data/blob/hipster.txt
3;Unions Hungary;applications methodical;../fake-data/blob/hipster.txt
4;mobile;Computers Bedfordshire;../fake-data/blob/hipster.txt
5;enhance Harbors;Litas Industrial;../fake-data/blob/hipster.txt
6;Steel Avon;up Avon impactful;../fake-data/blob/hipster.txt
7;Toys;Identity Buckinghamshire National;../fake-data/blob/hipster.txt
8;global Open-architected;Jersey Congolese;../fake-data/blob/hipster.txt
9;JBOD sensor;Gloves;../fake-data/blob/hipster.txt
10;Open-architected Swiss open-source;Legacy solution mint;../fake-data/blob/hipster.txt
