id;sub_gl_code;sub_gl_description;main_gl_code;main_gl_description;gl_type
1;Salad maximize Tunisia;data-warehouse;redundant open-source Gateway;incubate invoice Licensed;web solutions
2;Congo;Concrete Loan;open Lead quantify;Frozen Plastic;Future reintermediate interfaces
3;Nebraska Hat;solutions Port;parse online quantify;middleware Shoes;Associate
4;Inverse Architect Steel;Swaziland withdrawal;Planner Account Berkshire;eyeballs firewall;Planner Electronics Trinidad
5;Car Account;bypass utilize;innovative Keyboard;Norwegian;Implementation International
6;sticky generate Steel;coherent Mills Cuba;Administrator;SSL input Accountability;Plastic user-facing Switchable
7;models Chair hacking;redefine;Oregon National;Bedfordshire Soft Representative;plug-and-play indigo Forward
8;Rhode hardware;Rustic Frozen;yellow cyan Administrator;Virgin Legacy synthesizing;recontextualize Orchestrator Optional
9;salmon Plastic;Mandatory;middleware;connect state;high-level Idaho Sausages
10;Keyboard Chief;feed Handmade;Team-oriented;contingency Salad;portals cutting-edge
