id;insider_category_type_code;insider_category_type_detail;insider_category_description
1;deposit Total;Fish synthesize;../fake-data/blob/hipster.txt
2;Functionality Maryland Chips;Metal;../fake-data/blob/hipster.txt
3;Practical;Card Tactics;../fake-data/blob/hipster.txt
4;e-tailers hack Tunnel;Cambridgeshire;../fake-data/blob/hipster.txt
5;navigating;Rubber;../fake-data/blob/hipster.txt
6;Reverse-engineered Chile;redundant District RSS;../fake-data/blob/hipster.txt
7;withdrawal;Analyst deposit;../fake-data/blob/hipster.txt
8;action-items Springs;1080p multi-byte SQL;../fake-data/blob/hipster.txt
9;Specialist compressing Gloves;Virtual applications Kina;../fake-data/blob/hipster.txt
10;Berkshire Mouse;infrastructures;../fake-data/blob/hipster.txt
