id;interest_calculation_method_code;interest_calculation_mthod_type;interest_calculation_method_details
1;Sleek Baby HDD;Massachusetts Configuration Fresh;../fake-data/blob/hipster.txt
2;Bedfordshire Salvador;Bedfordshire JBOD Games;../fake-data/blob/hipster.txt
3;holistic;silver;../fake-data/blob/hipster.txt
4;enable up;Money;../fake-data/blob/hipster.txt
5;deposit;synthesizing;../fake-data/blob/hipster.txt
6;Optimization;Ergonomic Cambridgeshire JBOD;../fake-data/blob/hipster.txt
7;Handcrafted Philippines back-end;override Ruble;../fake-data/blob/hipster.txt
8;RAM;auxiliary Home Quality-focused;../fake-data/blob/hipster.txt
9;intermediate user-centric;Intranet;../fake-data/blob/hipster.txt
10;whiteboard Bermuda Kids;Avon Regional;../fake-data/blob/hipster.txt
