id;country_code;country_description;continent_code;continent_name;sub_region
1;VG;bandwidth Reduced vortals;Intelligent deposit;Ouguiya;National HTTP
2;VA;Concrete;Monitored TCP Concrete;system;Markets calculating navigating
3;PR;Focused success;Denar;olive;mobile online
4;FI;Slovenia Garden;parsing Kids connect;Incredible turn-key Jersey;Computer Peso
5;LB;Quality;models;monitor;pink
6;LA;Kazakhstan e-business;Quality;generate;Avon
7;VE;JSON;program Jersey;Brand;generate
8;FI;Pants;hacking Manat;hack;Australian
9;JP;Ergonomic Table Ergonomic;seize Dynamic;Money Dinar;JSON
10;LU;Missouri Facilitator Technician;platforms Rupee Home;middleware;ivory
