id;alphabetic_code;numeric_code;minor_unit;currency;country
1;Tasty JSON;Strategist model;Parkway Chicken;payment migration;Trinidad and Tobago
2;Plains silver back-end;AGP Assistant;evolve indexing;Armenian;Portugal
3;Bedfordshire tan;info-mediaries Executive forecast;multi-tasking;overriding Applications digital;Namibia
4;black;SDD backing Web;Bacon;orange Extended;Zambia
5;green Strategist;Sports Mayotte;local Technician;feed Incredible;Macao
6;algorithm executive Generic;RAM web-readiness;Product;channels Berkshire;Romania
7;digital;Central Customizable;Automotive withdrawal;Loan neural Buckinghamshire;Gambia
8;Web magenta;virtual Uruguayo;Handmade;optical;Turks and Caicos Islands
9;state monitor;District Sharable;Principal green;Sausages;United States Minor Outlying Islands
10;Sleek navigate RAM;Equatorial;deposit;Chief Cotton connecting;Uganda
