id;booking_id;lease_title;identifier;description;commencement_date;terminal_date
1;Cotton Accountability;HDD generation Direct;8a483a78-933d-40f7-83b5-6f46b1edb236;application Liaison revolutionize;2023-01-09;2023-01-08
2;indigo Legacy solution;RAM;a9b8e8ea-9bc7-4366-a3bd-e42f8abcb40f;circuit Handcrafted;2023-01-09;2023-01-08
3;standardization;Architect panel;53cf1a8b-d3be-4ecc-9e6a-e36230e7c126;invoice Gloves;2023-01-09;2023-01-08
4;neural Loan;Home parsing;03f0b714-537a-4978-8dd2-2ce8198d4fec;Supervisor;2023-01-08;2023-01-09
5;Virginia;superstructure Toys;5e54c5f4-879d-48d0-a252-d04f23f9221f;Frozen index;2023-01-09;2023-01-08
6;Configuration Planner;Fresh;cd5eae1e-6d82-43df-9f8a-88a03cbea06b;framework connecting parse;2023-01-08;2023-01-08
7;Convertible SQL;circuit transmitter;1ab38585-a97f-402d-a244-46a8be925708;Computers Table online;2023-01-08;2023-01-08
8;Cambridgeshire;magnetic primary Camp;93cae531-6700-416e-9dcc-8518573f27bf;Borders open-source;2023-01-09;2023-01-09
9;Licensed United Product;Dollar Metal;ab6a189d-0fd7-4f1a-8bcb-434b943d80c1;Netherlands ROI website;2023-01-09;2023-01-09
10;invoice;Profit-focused Credit;ff1366ba-4c55-444e-9311-d13f39da6762;Avon;2023-01-09;2023-01-08
