id;merchant_type_code;merchant_type;merchant_type_details
1;Unbranded;Accounts Arkansas Avon;../fake-data/blob/hipster.txt
2;AGP primary;Run;../fake-data/blob/hipster.txt
3;feed Georgia;Salad Customer-focused mobile;../fake-data/blob/hipster.txt
4;Representative;Planner;../fake-data/blob/hipster.txt
5;Ergonomic;Internal Frozen;../fake-data/blob/hipster.txt
6;Arizona;incentivize Switzerland;../fake-data/blob/hipster.txt
7;back-end;Money methodologies;../fake-data/blob/hipster.txt
8;Checking panel;invoice microchip;../fake-data/blob/hipster.txt
9;Hat payment;Bedfordshire deposit Viaduct;../fake-data/blob/hipster.txt
10;program;generation;../fake-data/blob/hipster.txt
