id;moratorium_item_type_code;moratorium_item_type;moratorium_type_details
1;Movies transmit e-enable;experiences e-services;../fake-data/blob/hipster.txt
2;Analyst;high-level invoice;../fake-data/blob/hipster.txt
3;HTTP Loan quantifying;Berkshire;../fake-data/blob/hipster.txt
4;systemic Gloves;payment Well Soft;../fake-data/blob/hipster.txt
5;applications Kenya;Buckinghamshire Ball evolve;../fake-data/blob/hipster.txt
6;overriding District;Architect 24/7 Baby;../fake-data/blob/hipster.txt
7;bluetooth;gold Awesome;../fake-data/blob/hipster.txt
8;Leu e-business;bleeding-edge Mauritius models;../fake-data/blob/hipster.txt
9;Mayotte payment;generating;../fake-data/blob/hipster.txt
10;B2C;Rubber;../fake-data/blob/hipster.txt
