id;asset_number;asset_tag;asset_description;nbv_identifier;compilation_job_identifier;compilation_batch_identifier;elapsed_months;prior_months;useful_life_years;net_book_value_amount;previous_net_book_value_amount;historical_cost;capitalization_date
1;AGP Operations Functionality;Producer;reboot parallelism;baf68551-9158-4232-ba46-793df9e44ed5;704137c9-c385-46fd-b36c-c247ba87b9e3;b92ff184-eec6-428c-891b-dc2f5cc4b03d;95879;38184;96718;87064;33207;14667;2024-02-19
2;green;Quetzal Compatible;Cambridgeshire;190fdb2c-f213-4c9e-89d7-3588771b8f41;5191ca25-3cb9-44ce-ad8e-b9ce57806d56;b5392b6a-cadf-46e0-bfc1-c821db485e5c;70648;64891;14869;708;21226;30782;2024-02-18
3;24/365 Designer blue;Loan Trafficway Nakfa;applications Accounts Account;f369c6d8-f9e9-46e6-aaf7-761451d0313d;5d610df4-6c9c-432d-951a-530acf32e1f8;df20424f-f132-435d-a1a0-5e5c65b80776;64088;42313;6406;98274;50810;28196;2024-02-18
4;SCSI Indiana;Wooden Account;User-centric;c638fda6-7a02-49c9-8259-d6f7465b5817;c626c228-4c69-48c4-9d50-5ce1d2edf885;7468e5c5-c412-4cfb-9944-48dcf8a5c17e;52118;71541;11972;67117;13453;29975;2024-02-19
5;quantifying administration;firewall Cheese HTTP;online;12243aca-dbab-4917-8ce1-33830f836e22;e0c5dce2-16d5-466d-acfd-52c0c49cb008;718d5944-a66d-4a5e-a9c5-8f85ced8559b;61482;66671;69934;70384;85714;54432;2024-02-19
6;navigate face;Keyboard XSS feed;capacitor Steel Salad;1d8c28c3-40f1-4bd6-8ce6-3e57b05821d1;03f3ca23-9279-4c74-92d7-7efc719e99f4;c3e3f0ce-45e3-41f0-974e-8cb485009c11;94188;91906;86640;47554;78411;10212;2024-02-18
7;Ergonomic;transmitting Technician withdrawal;Tools function Riyal;518489c5-fe51-4c87-be63-1ab6f64a50d8;5908c8d4-342c-4905-91d2-d50e3b5ce116;f68fc3a8-d586-47ea-8e23-45a269117a37;31406;49665;44215;88384;19761;37467;2024-02-19
8;Illinois;Customer action-items;Account target Keyboard;18b0ad28-359e-48e6-a828-41c672f1ec67;b47652cc-5df0-477a-9a07-957a35d4b79a;68ea88b0-d324-4cee-84b0-43528c58ce24;24106;14740;57141;22327;13271;12693;2024-02-18
9;Account;invoice Handmade open-source;Guatemala;e32b4a6e-1ad1-4af4-9f5b-0d70998dab3b;4fab9925-9b19-421f-8220-953b0fa92222;cb43eccb-0c3b-472f-9daa-8b4bd1627821;28760;10598;72124;50619;76192;26146;2024-02-19
10;digital Down-sized Executive;Liaison reboot Soap;salmon Liaison connect;2030b913-1be2-4487-8705-5fbfd18b4487;862cb8b0-b0cd-47fe-a323-2d0c8a70ed6d;5aaf55ca-4f6f-4213-a00c-dc17f6ed8d0b;68383;36369;29608;5820;68173;90527;2024-02-19
