id;account_name;account_number;prepayment_amount;amortised_amount;outstanding_amount;number_of_prepayment_accounts;number_of_amortised_items
1;Investment Account;Bacon;53708;32140;84881;21086;8405
2;Money Market Account;withdrawal Rustic;93196;9190;88533;73485;54232
3;Credit Card Account;transition Steel Metal;16028;60428;87781;55496;7562
4;Checking Account;Facilitator;79841;82172;19010;31775;6604
5;Investment Account;Metal;76027;63507;57589;20368;23025
6;Savings Account;Pizza Communications;84572;69439;62041;16507;52683
7;Money Market Account;Industrial invoice bus;29685;46006;56366;22909;36912
8;Savings Account;Pass;31438;79921;29497;8536;71360
9;Credit Card Account;synthesizing;95869;86937;35874;85772;60020
10;Checking Account;Jewelery;12742;77432;7358;41745;26504
