id;time_of_request;compilation_status;items_processed;compilation_token;narration
1;2023-11-21T02:09:09;STARTED;59986;ea34f312-136a-44aa-9364-f58f8b15bf34;navigate Loan
2;2023-11-20T17:17:20;IN_PROGRESS;59003;661b476c-9d2e-4402-ae75-ba2e6f92e28f;haptic California
3;2023-11-20T15:13:31;STARTED;33813;e17dc934-522d-403a-a38a-bad0c042376a;Dinar
4;2023-11-20T13:15:39;STARTED;30285;775cbd19-2b95-427c-96a6-e9f17b5ce20b;deposit
5;2023-11-20T23:39:42;STARTED;2371;3515e029-3482-4c0b-a326-979a88f59706;up
6;2023-11-20T12:41:15;REVERSED;20557;6baac4fc-018a-473a-b08c-41e6b57ce9da;vertical Internal
7;2023-11-21T00:52:14;STARTED;4368;c17bc2e2-3d89-4996-938c-2feebe76f016;Road
8;2023-11-21T11:35:15;REVERSED;84237;edc33bd8-845a-4fa9-b3b3-38a430c55882;Customer Incredible
9;2023-11-21T01:55:09;COMPLETE;65505;5a98b042-c880-4905-b190-52d74aa5ddc6;card Investment RSS
10;2023-11-20T11:46:49;COMPLETE;45903;b4849c8f-4ea9-44c6-886b-96c11551075e;payment Rustic
