id;transaction_date;description;cost;reference_number;lease_contract_id;settlement_details_id;targetrouaccount_id;transfer_account_id
1;2024-11-03;Tuna Ergonomic;55370;25356;1;1;1;1
2;2024-11-03;Sleek Clothing Supervisor;87189;80642;2;2;2;2
3;2024-11-04;Avon;67188;17129;3;3;3;3
4;2024-11-04;Toys salmon;25390;70758;4;4;4;4
5;2024-11-04;JBOD;45145;26333;5;5;5;5
6;2024-11-04;Accounts;8654;16152;6;6;6;6
7;2024-11-04;Usability;26079;50442;7;7;7;7
8;2024-11-04;robust syndicate;99417;7407;8;8;8;8
9;2024-11-04;Technician infomediaries compressing;44793;25477;9;9;9;9
10;2024-11-04;USB Michigan;38398;51179;10;10;10;10
